# Dell token-store records (magic 0xAA557887) in 'R 16.BIN'
# format: flash_offset  data_length  first-16-bytes-of-data
0x0022F000     217  0300000006009b17a400ffffffffffff
0x00231000     257  02000000090000002b00330bf3108f19
0x00233000     182  0200000022002b0ce900ffffffffffff
0x00235000       4  0100000004000000d1001c0b001f130b
0x00237000       5  01000000050000009a00140b2507140f
0x00239000       6  01000000060000004700530b2f13153a
0x0023B000     221  070000003b003915f000ffffffffffff
0x0023D000     189  020000002b007510c000ffffffffffff
0x0023F000     198  0300000030005113b300ffffffffffff
0x00241000     258  020000000e00a3028700ffffffffffff
0x00243000     178  020000002100b10bd600ffffffffffff
0x00245000     213  0300000006002117fc00ffffffffffff
0x00247000      13  010000000d000000cc002f0bb50fbe1e
0x00249000      14  010000000e00000011006f0bb60ad313
0x0024B000     259  020000004a003b1f0300ffffffffffff
0x0024D000      16  0100000010001d03e100000000000000
0x0024F000      17  01000000110097039e00000000000000
0x00251000      18  01000000120011049e00000000000000
0x00253000      19  0100000013008b04b600000000000000
0x00255000      20  01000000140005052700000000000000
0x00257000      21  0100000015007f054c00000000000000
0x00259000      22  010000001600f9055900000000000000
0x0025B000     281  030000004200e51b4700ffffffffffff
0x0025D000     266  0200000018006707d000ffffffffffff
0x0025F000     267  020000001c004f09f900ffffffffffff
0x00261000      26  010000001a00e107d500000000000000
0x00263000      27  010000001b005b087e00000000000000
0x00265000      28  010000001c00d508e800000000000000
0x00267000     268  020000001e00430ab400ffffffffffff
0x00269000      30  010000001e00c909d200000000000000
0x0026B000     269  020000001f00bd0a3d00ffffffffffff
0x0026D000     270  020000002000370b9200ffffffffffff
0x0026F000     271  020000002900810f4400ffffffffffff
0x00271000     179  020000002300a50cb100ffffffffffff
0x00273000     183  020000002500990db400ffffffffffff
0x00275000     180  0200000024001f0d8d00ffffffffffff
0x00277000     264  030000002a0000007700960b9d2b9a3c
0x0027B000     185  0200000027008d0ebd00ffffffffffff
0x0027D000     186  020000002800070fbb00ffffffffffff
0x0027F000     187  020000002a00fb0f2200ffffffffffff
0x00281000     272  020000002c00ef10cd00ffffffffffff
0x00283000     265  030000001700ed06c500000000000000
0x00285000     190  020000002f005d127700ffffffffffff
0x00287000     273  0200000033004514a300ffffffffffff
0x00289000     256  06000000010000008a00fa097c16cd01
0x0028B000     244  020000003800a7168100ffffffffffff
0x0028D000     191  020000003000d712ab00ffffffffffff
0x0028F000     199  040000003200cb13d800ffffffffffff
0x00291000     241  0800000040008f18bf00ffffffffffff
0x00293000     255  040000002d000000d2005d0ba4292b2d
0x00295000     274  020000004800471ee000ffffffffffff
0x00297000     203  020000003600b3156700ffffffffffff
0x00299000     202  020000003400bf14ed00ffffffffffff
0x0029B000     204  020000002d0069113a00ffffffffffff
0x0029D000     210  0300000006002d169300ffffffffffff
0x0029F000     245  0200000042006b1b4000ffffffffffff
0x002A1000     236  050000003100fd19d000ffffffffffff
0x002A3000     229  05000000310009192b00ffffffffffff
0x002A5000     226  04000000310015180000ffffffffffff
0x002A7000     250  040000003e000000a100790adc3bfc2a
0x002A9000     233  0300000031008319e000ffffffffffff
0x002AB000     251  030000004500d91c6e00ffffffffffff
0x002AD000     263  0400000024000000b800f20b2e2e9d37
0x002AF000     242  030000004100f11a9900ffffffffffff
0x002B1000     243  020000002e00e3111c00ffffffffffff
0x002B3000     282  030000004400c11e3500ffffffffffff
0x002B5000     247  0200000032000000eb00680ba91bc50b
0x002B7000     283  030000002500771a0600000000000000
0x002B9000     252  0200000044005f1c3700ffffffffffff
0x002BB000     261  02000000ad00694e5a00000000000000
0x002BD000      72  010000004800cd1d4500000000000000
0x002BF000     275  020000004b00b51fbe00ffffffffffff
0x002C1000     254  020000003200130e1200000000000000
0x002C3000     260  020000004600531d2c00000000000000
0x002C5000     276  020000004c002f209600ffffffffffff
0x002C7000     277  02000000500017221b00ffffffffffff
0x002C9000      78  010000004e00a920ea00000000000000
0x002CB000      79  010000004f0023219200000000000000
0x002CD000      80  0100000050009d210700000000000000
0x002CF000     278  02000000aa00fb4cd100ffffffffffff
0x002D1000      82  01000000520091226400000000000000
0x002D3000      83  0100000053000b234b00000000000000
0x002D5000      84  0100000054008523dd00000000000000
0x002D7000      85  010000005500ff23b600ffffffffffff
0x002D9000      86  0100000056007924b600ffffffffffff
0x002DB000      87  010000005700f324c900ffffffffffff
0x002DD000      88  0100000058006d255900ffffffffffff
0x002DF000      89  010000005900e7252600ffffffffffff
0x002E1000      90  010000005a0061263a00ffffffffffff
0x002E3000      91  010000005b00db26bc00ffffffffffff
0x002E5000      92  010000005c0055272d00ffffffffffff
0x002E7000      93  010000005d00cf270500ffffffffffff
0x002E9000      94  010000005e0049283d00ffffffffffff
0x002EB000      95  010000005f00c3284200ffffffffffff
0x002ED000      96  0100000060003d29d400ffffffffffff
0x002EF000      97  010000006100b729ab00ffffffffffff
0x002F1000      98  010000006200312ab700ffffffffffff
0x002F3000      99  010000006300ab2a9f00ffffffffffff
0x002F5000     100  010000006400252b0e00ffffffffffff
0x002F7000     101  0100000065009f2b8800ffffffffffff
0x002F9000     102  010000006600192c8800ffffffffffff
0x002FB000     103  010000006700932cf700ffffffffffff
0x002FD000     104  0100000068000d2d6700ffffffffffff
0x002FF000     105  010000006900872d1800ffffffffffff
0x00301000     106  010000006a00012e0400ffffffffffff
0x00303000     107  010000006b007b2e6f00ffffffffffff
0x00305000     108  010000006c00f52ef900ffffffffffff
0x00307000     109  010000006d006f2fd600ffffffffffff
0x00309000     110  010000006e00e92fc300ffffffffffff
0x0030B000     111  010000006f006330e100ffffffffffff
0x0030D000     112  010000007000dd307400ffffffffffff
0x0030F000     113  01000000710057310c00ffffffffffff
0x00311000     114  010000007200d1311900ffffffffffff
0x00313000     115  0100000073004b323800ffffffffffff
0x00315000     116  010000007400c532ae00ffffffffffff
0x00317000     117  0100000075003f337400ffffffffffff
0x00319000     118  010000007600b9336100ffffffffffff
0x0031B000     119  01000000770033340b00ffffffffffff
0x0031D000     120  010000007800ad349c00ffffffffffff
0x0031F000     121  0100000079002735e400ffffffffffff
0x00321000     122  010000007a00a135f100ffffffffffff
0x00323000     123  010000007b001b367e00ffffffffffff
0x00325000     124  010000007c009536e800ffffffffffff
0x00327000     125  010000007d000f37c700ffffffffffff
0x00329000     126  010000007e008937d200ffffffffffff
0x0032B000     127  010000007f0003388000ffffffffffff
0x0032D000     128  0100000080007d386200ffffffffffff
0x0032F000     129  010000008100f7381d00ffffffffffff
0x00331000     130  01000000820071390f00ffffffffffff
0x00333000     131  010000008300eb392700ffffffffffff
0x00335000     132  010000008400653ab800ffffffffffff
0x00337000     133  010000008500df3a3e00ffffffffffff
0x00339000     134  010000008600593b2c00ffffffffffff
0x0033B000     135  010000008700d33b5300ffffffffffff
0x0033D000     136  0100000088004d3cd100ffffffffffff
0x0033F000     137  010000008900c73cae00ffffffffffff
0x00341000     138  010000008a00413dbc00ffffffffffff
0x00343000     139  010000008b00bb3d6100ffffffffffff
0x00345000     140  010000008c00353efe00ffffffffffff
0x00347000     141  010000008d00af3ed600ffffffffffff
0x00349000     142  010000008e00293fc400ffffffffffff
0x0034B000     143  010000008f00a33fbb00ffffffffffff
0x0034D000     144  0100000090001d405400ffffffffffff
0x0034F000     145  01000000910097402b00ffffffffffff
0x00351000     146  01000000920011413900ffffffffffff
0x00353000     147  0100000093008b411100ffffffffffff
0x00355000     148  01000000940005428e00ffffffffffff
0x00357000     149  0100000095007f42e500ffffffffffff
0x00359000     150  010000009600f942f000ffffffffffff
0x0035B000     151  01000000970073438800ffffffffffff
0x0035D000     152  010000009800ed431f00ffffffffffff
0x0035F000     153  01000000990067447500ffffffffffff
0x00361000     154  010000009a00e1446000ffffffffffff
0x00363000     155  010000009b005b45e100ffffffffffff
0x00365000     156  010000009c00d5457700ffffffffffff
0x00367000     157  010000009d004f465600ffffffffffff
0x00369000     158  010000009e00c9464300ffffffffffff
0x0036B000     159  010000009f0043473b00ffffffffffff
0x0036D000     160  01000000a000bd47aa00ffffffffffff
0x0036F000     161  01000000a1003748f800ffffffffffff
0x00371000     162  01000000a200b148ed00ffffffffffff
0x00373000     163  01000000a3002b49c200ffffffffffff
0x00375000     164  01000000a400a5495400ffffffffffff
0x00377000     165  01000000a5001f4adb00ffffffffffff
0x00379000     166  01000000a600994ace00ffffffffffff
0x0037B000     167  01000000a700134bb600ffffffffffff
0x0037D000     168  01000000a8008d4b2100ffffffffffff
0x0037F000     169  01000000a900074c4b00ffffffffffff
0x00381000     170  01000000aa00814c5e00ffffffffffff
0x00383000     279  02000000ab00754dfd00ffffffffffff
0x00385000     280  0200000016000000ee00ffffffffffff
0x00387000     173  01000000ad00ef4d8c00000000000000
0x00389000     262  020000003f0000006200c4090b2ba81c
0x0038B000     175  0200000016007306fa00000000000000
0x003B1000      33  020000000000000003002d0bd329951a
0x003B3000       3  0100000003007b001200000000000000
0x003B5000       4  010000000400f5008400000000000000
0x003B7000       5  0100000005006f01ab00000000000000
0x003B9000       6  010000000600e901be00000000000000
0x003BB000       7  0100000007006302c800ffffffffffff
0x003BD000       8  010000000800dd02f100ffffffffffff
0x003BF000       9  01000000090057038900ffffffffffff
0x003C1000      10  010000000a00d1039c00ffffffffffff
0x003C3000      11  010000000b004b04a100ffffffffffff
0x003C5000      12  010000000c00c5043700ffffffffffff
0x003C7000      13  010000000d003f05ed00ffffffffffff
0x003C9000      14  010000000e00b905f800ffffffffffff
