# UEFI authenticated variable store in XM25QH256 (32MB) dump
# store header @ file 0x923048, FV @ 0x923000 (GUID FFF12B8D-...), size 0x6DFB8, 794 records
# offset    state  attrs  GUID                                   name                       dataLen
0x00923064  0x3f  0x23  9073e4e0-60ec-4b6e-9903-4c223c260f3c  'VendorKeysNv'                             1
0x009230BC  0x3f  0x27  d9bee56e-75dc-49d9-b4d7-b534210f637a  'certdb'                                   90
0x00923160  0x3f  0x27  77fa9abd-0359-4d32-bd60-28f4e78f784b  'CurrentPolicy'                            1
0x009231BC  0x3f  0x07  e4f8d2d5-6f1d-4e5c-8085-5a4c21f4cdc4  '0001'                                     17
0x00923214  0x3f  0x07  aaf8e719-48f8-4099-a6f7-645fbd694c3d  'SiSetup'                                  7
0x00923268  0x3f  0x03  b5fbe0c8-a72a-408d-859c-0fd7537aaa5f  'LpeSetup'                                 42
0x009232E0  0x3f  0x07  a1d89a3a-4a90-429d-4365-1f64c3a29614  'NhltEndpointsTableConfigurationVariable'  17
0x00923380  0x3f  0x07  ec87d643-eba4-4bb5-a1e5-3f3e36b20da9  'PciBusSetup'                              1
0x009233D8  0x3f  0x03  78b68387-38ae-4554-ab94-3e11cdf324fd  'NvmeRpmbKeyHii'                           1
0x00923434  0x3f  0x03  6339d487-26ba-424b-9a5d-687e25d740bc  'TCG2_VERSION'                             16
0x0092349C  0x3f  0x03  ec87d643-eba4-4bb5-a1e5-3f3e36b20da9  'ComAttributes'                            25
0x00923510  0x3f  0x03  c076ec0c-7028-4399-a072-71ee5c448b9f  'CustomMode'                               1
0x00923564  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'SPLC'                                     9
0x009235B4  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'WRDD'                                     3
0x00923600  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'WRDS'                                     12
0x00923654  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'EWRD'                                     33
0x009236BC  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'WGDS'                                     19
0x00923718  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'SADS'                                     2
0x00923760  0x3f  0x07  42780dd5-9a7d-404c-80e4-7f7094360394  'SADS'                                     2
0x009237A8  0x3f  0x07  92daaf2f-c02b-455b-b2ec-f5a3594f4aea  'GPC'                                      13
0x009237FC  0x3f  0x07  42780dd5-9a7d-404c-80e4-7f7094360394  'GPC'                                      13
0x00923850  0x3f  0x07  42780dd5-9a7d-404c-80e4-7f7094360394  'BRDS'                                     8
0x009238A0  0x3f  0x07  e65d8884-d4af-4b20-8d03-772ecc3da531  'IntelUefiCnvWwanSkuSupport'               7
0x0092391C  0x3f  0x03  e3600c53-3f83-4a0f-b0b2-39770fe2c005  'BootStateAfterCapsule'                    1
0x00923988  0x3f  0x07  ec87d643-eba4-4bb5-a1e5-3f3e36b20da9  'InitSetupVariable'                        1
0x009239EC  0x3f  0x07  e59376d7-2dd9-42a3-9ec8-1d71d5e3c1ec  'OsProfile'                                2
